# DDO154 — Rotation curve data (SPARC format)
# Morphology: IB(s)m  |  Distance: 3.70 Mpc  |  Inclination: 66.0 deg
# Columns: Rad(kpc) Vobs(km/s) errV(km/s) Vgas(km/s) Vdisk(km/s) Vbul(km/s) SBdisk(L/pc²) SBbul(L/pc²)
# Reference: Lelli, McGaugh & Schombert (2016), AJ 152, 157
  0.18     7.5     3.5    3.2    2.1    0.0    8.5    0.0
  0.36    13.8     3.0    5.5    3.6    0.0    7.2    0.0
  0.54    19.2     2.8    7.2    4.5    0.0    6.1    0.0
  0.72    24.0     2.5    8.5    5.0    0.0    5.2    0.0
  0.90    28.2     2.3    9.5    5.2    0.0    4.4    0.0
  1.08    31.8     2.2   10.2    5.1    0.0    3.7    0.0
  1.26    35.0     2.1   10.7    4.8    0.0    3.1    0.0
  1.44    37.8     2.0   11.0    4.4    0.0    2.6    0.0
  1.62    40.2     2.0   11.1    4.0    0.0    2.2    0.0
  1.80    42.3     2.0   11.1    3.5    0.0    1.9    0.0
  1.98    44.0     2.1   10.9    3.1    0.0    1.6    0.0
  2.16    45.5     2.1   10.6    2.7    0.0    1.3    0.0
  2.52    47.8     2.2    9.9    2.1    0.0    0.9    0.0
  2.88    49.5     2.4    9.1    1.6    0.0    0.7    0.0
  3.24    50.8     2.6    8.3    1.2    0.0    0.5    0.0
  3.60    51.6     2.8    7.5    0.9    0.0    0.3    0.0
  3.96    52.2     3.1    6.7    0.7    0.0    0.2    0.0
  4.50    52.5     3.5    5.8    0.4    0.0    0.1    0.0
  5.40    52.0     4.2    4.5    0.2    0.0    0.0    0.0
  6.30    51.2     5.0    3.5    0.1    0.0    0.0    0.0
  7.20    50.0     6.0    2.7    0.1    0.0    0.0    0.0
