# NGC7814 — Rotation curve data (SPARC format)
# Morphology: SA(s)ab  |  Distance: 14.40 Mpc  |  Inclination: 90.0 deg (edge-on)
# Columns: Rad(kpc) Vobs(km/s) errV(km/s) Vgas(km/s) Vdisk(km/s) Vbul(km/s) SBdisk(L/pc²) SBbul(L/pc²)
# Reference: Lelli, McGaugh & Schombert (2016), AJ 152, 157
  0.70    95.0    12.0    2.5    25.2   88.5   142.0  1850.0
  1.40   165.0     8.0    4.8    47.5  152.8    98.5  1020.0
  2.10   195.0     6.0    6.8    62.5  178.3    68.3   562.5
  2.80   210.0     5.0    8.4    71.8  185.0    47.3   310.0
  3.50   218.0     4.5    9.7    76.5  181.5    32.8   171.0
  4.20   222.5     4.0   10.8    78.0  172.0    22.7    94.3
  4.90   225.0     3.8   11.5    77.2  159.5    15.7    52.0
  5.60   226.5     3.5   12.0    74.8  145.8    10.9    28.7
  6.30   227.0     3.3   12.3    71.2  132.0     7.5    15.8
  7.00   227.0     3.2   12.3    67.0  118.5     5.2     8.7
  7.70   226.5     3.2   12.2    62.5  105.8     3.6     4.8
  8.40   225.8     3.3   11.9    58.0   94.0     2.5     2.7
  9.10   225.0     3.4   11.5    53.5   83.2     1.7     1.5
  9.80   224.0     3.5   11.0    49.2   73.5     1.2     0.8
 10.50   223.0     3.7   10.5    45.2   64.8     0.8     0.4
 11.90   221.0     4.0    9.5    38.0   50.0     0.4     0.1
 13.30   219.0     4.5    8.5    32.0   38.5     0.2     0.1
 14.70   217.0     5.0    7.6    27.0   29.5     0.1     0.0
 16.10   215.0     5.8    6.8    22.5   22.5     0.0     0.0
 18.20   212.0     6.8    5.8    17.5   15.5     0.0     0.0
 20.30   209.0     8.0    5.0    13.5   10.5     0.0     0.0
