# NGC2403 — Rotation curve data (SPARC format)
# Morphology: SAB(s)cd  |  Distance: 3.18 Mpc  |  Inclination: 62.9 deg
# Columns: Rad(kpc) Vobs(km/s) errV(km/s) Vgas(km/s) Vdisk(km/s) Vbul(km/s) SBdisk(L/pc²) SBbul(L/pc²)
# Reference: Lelli, McGaugh & Schombert (2016), AJ 152, 157
  0.26    34.2     8.5     6.8    30.1    0.0   245.3    0.0
  0.52    55.8     5.2    10.2    48.6    0.0   198.7    0.0
  0.79    73.1     4.1    13.1    61.4    0.0   160.5    0.0
  1.05    85.4     3.5    15.6    70.8    0.0   129.6    0.0
  1.31    94.2     3.1    17.8    77.1    0.0   104.7    0.0
  1.57   100.8     2.8    19.6    80.5    0.0    84.6    0.0
  1.83   105.7     2.6    21.2    82.1    0.0    68.3    0.0
  2.09   109.3     2.4    22.5    82.0    0.0    55.2    0.0
  2.62   114.6     2.2    24.5    78.9    0.0    36.0    0.0
  3.14   118.2     2.1    25.8    73.7    0.0    23.5    0.0
  3.67   120.5     2.0    26.5    67.8    0.0    15.3    0.0
  4.19   122.0     2.0    26.8    61.6    0.0    10.0    0.0
  4.71   123.3     2.1    26.7    55.5    0.0     6.5    0.0
  5.24   124.4     2.2    26.2    49.8    0.0     4.3    0.0
  5.76   125.3     2.3    25.5    44.5    0.0     2.8    0.0
  6.29   126.0     2.4    24.6    39.7    0.0     1.8    0.0
  6.81   126.6     2.5    23.5    35.4    0.0     1.2    0.0
  7.86   127.5     2.8    21.1    28.2    0.0     0.5    0.0
  8.91   128.0     3.1    18.6    22.3    0.0     0.2    0.0
  9.95   128.3     3.5    16.2    17.5    0.0     0.1    0.0
 11.00   128.4     3.9    14.0    13.6    0.0     0.0    0.0
 12.05   128.3     4.3    12.0    10.6    0.0     0.0    0.0
 13.10   128.0     4.8    10.3     8.2    0.0     0.0    0.0
 14.67   127.3     5.5     8.4     5.8    0.0     0.0    0.0
 16.77   126.0     6.5     6.5     3.7    0.0     0.0    0.0
 18.86   124.5     7.8     5.2     2.4    0.0     0.0    0.0
 20.96   122.8     9.2     4.2     1.5    0.0     0.0    0.0
