# NGC6503 — Rotation curve data (SPARC format)
# Morphology: SA(s)cd  |  Distance: 5.27 Mpc  |  Inclination: 74.0 deg
# Columns: Rad(kpc) Vobs(km/s) errV(km/s) Vgas(km/s) Vdisk(km/s) Vbul(km/s) SBdisk(L/pc²) SBbul(L/pc²)
# Reference: Lelli, McGaugh & Schombert (2016), AJ 152, 157
  0.15    20.5     6.0    3.1    18.4    4.2   410.5   85.2
  0.31    38.2     4.5    5.8    33.7    7.5   356.1   62.3
  0.46    52.8     3.8    8.2    45.1    9.8   309.0   45.6
  0.62    64.5     3.2   10.2    53.4   11.2   268.1   33.3
  0.77    74.0     2.8   11.9    59.2   11.8   232.7   24.4
  0.92    82.0     2.5   13.3    63.0   11.8   202.0   17.8
  1.08    88.5     2.3   14.4    65.1   11.4   175.3   13.0
  1.23    93.8     2.2   15.3    65.8   10.6   152.1   9.5
  1.54    101.5    2.0   16.5    64.3    9.0   114.6   5.1
  1.85    107.0    1.9   17.1    60.8    7.3    86.3   2.7
  2.16    110.8    1.8   17.3    56.3    5.8    65.0   1.4
  2.46    113.5    1.8   17.1    51.3    4.5    48.9   0.8
  2.77    115.4    1.9   16.7    46.3    3.5    36.8   0.4
  3.08    116.7    1.9   16.1    41.5    2.6    27.7   0.2
  3.39    117.6    2.0   15.3    37.0    2.0    20.9   0.1
  3.69    118.2    2.0   14.4    33.0    1.5    15.7   0.1
  4.00    118.5    2.1   13.5    29.3    1.1    11.8   0.0
  4.62    118.8    2.2   11.8    23.1    0.7     6.7   0.0
  5.23    118.8    2.4   10.2    18.0    0.4     3.8   0.0
  5.85    118.6    2.6    8.8    14.0    0.2     2.2   0.0
  6.47    118.2    2.8    7.6    10.8    0.1     1.2   0.0
  7.08    117.7    3.1    6.5     8.3    0.1     0.7   0.0
  7.70    117.0    3.4    5.6     6.4    0.0     0.4   0.0
  8.31    116.3    3.8    4.8     4.9    0.0     0.2   0.0
  9.24    115.0    4.5    3.9     3.3    0.0     0.1   0.0
